product_id,category_id,supplier_id,product_name,brand,cost_price,selling_price,stock,is_active
1,1,6,Smart Set,Brand 30,125.64,301.0,45,True
2,4,4,Advanced Desk,Brand 26,80.97,138.82,158,True
3,8,6,Smart Lamp,Brand 33,96.82,182.97,99,True
4,12,3,Compact Blender,Brand 10,42.12,60.04,78,True
5,6,8,Eco Desk,Brand 49,89.02,185.65,451,False
6,20,6,Pro Watch,Brand 10,68.77,124.45,323,True
7,9,10,Wireless Keyboard,Brand 33,15.76,28.37,19,True
8,12,5,Portable Lamp,Brand 40,91.14,154.92,297,False
9,2,8,Ultra Serum,Brand 21,92.73,171.72,490,True
10,15,2,Deluxe Lamp,Brand 33,98.69,123.45,362,True
11,15,9,Multi Set,Brand 11,57.77,138.26,198,True
12,11,10,Wireless Watch,Brand 5,52.81,101.68,197,True
13,9,10,Smart Watch,Brand 6,89.5,123.86,179,True
14,13,3,Ultra Lamp,Brand 20,86.04,175.22,168,True
15,17,2,Pro Bottle,Brand 33,57.47,96.05,92,True
16,11,8,Compact Mat,Brand 9,27.47,43.53,403,True
17,17,9,Essential Vacuum,Brand 3,100.98,236.22,316,True
18,20,7,Smart Shoes,Brand 12,125.55,276.51,414,True
19,15,1,Advanced Keyboard,Brand 44,109.34,269.03,312,True
20,15,4,Multi Mat,Brand 20,145.01,321.88,462,True
21,12,10,Eco Jacket,Brand 50,45.86,77.8,270,True
22,6,4,Ultra Backpack,Brand 17,12.57,22.94,190,False
23,4,9,Portable Chair,Brand 6,115.65,179.79,463,False
24,5,7,Portable Mat,Brand 29,133.27,321.13,212,True
25,13,9,Deluxe Mat,Brand 25,149.21,251.77,14,True
26,4,6,Smart Backpack,Brand 3,46.6,106.19,356,True
27,16,8,Ultra Headphones,Brand 6,7.76,11.49,76,False
28,20,9,Advanced Blender,Brand 50,46.77,74.43,24,True
29,14,10,Eco Lamp,Brand 8,126.32,233.66,274,True
30,17,10,Compact Backpack,Brand 19,67.24,134.43,123,False
31,14,3,Pro Lamp,Brand 34,146.32,188.46,269,False
32,17,9,Multi Headphones,Brand 25,131.63,165.41,198,True
33,9,1,Deluxe Lamp,Brand 23,39.96,82.09,53,False
34,11,3,Wireless Keyboard,Brand 35,54.09,110.11,425,True
35,16,3,Smart Lamp,Brand 46,117.55,211.0,150,True
36,2,4,Wireless Watch,Brand 20,79.73,198.2,278,True
37,9,1,Pro Serum,Brand 19,56.76,125.73,443,True
38,9,2,Deluxe Bottle,Brand 26,112.78,266.5,197,True
39,6,8,Essential Camera,Brand 24,139.03,260.69,410,True
40,14,2,Advanced Set,Brand 12,84.09,136.02,40,True
41,10,5,Eco Set,Brand 46,66.79,140.04,179,True
42,2,6,Ultra Bottle,Brand 18,97.72,217.81,29,True
43,13,6,Multi Shoes,Brand 2,25.7,51.14,400,True
44,2,3,Portable Mat,Brand 50,98.55,164.66,486,False
45,2,10,Smart Jacket,Brand 24,58.94,129.2,293,True
46,17,6,Advanced Watch,Brand 42,45.41,111.19,13,True
47,16,9,Advanced Brush,Brand 8,42.96,66.09,228,True
48,20,5,Essential Camera,Brand 13,22.78,52.59,231,True
49,15,2,Pro Watch,Brand 43,55.38,71.13,277,True
50,10,3,Essential Shoes,Brand 24,78.77,106.95,102,True
51,8,8,Wireless Keyboard,Brand 36,87.98,159.04,282,True
52,20,2,Portable Chair,Brand 26,149.94,320.05,269,True
53,14,10,Portable Backpack,Brand 21,98.14,175.18,348,False
54,12,3,Multi Desk,Brand 12,116.33,159.11,257,True
55,4,9,Smart Chair,Brand 11,28.49,68.81,115,True
56,17,5,Portable Mug,Brand 13,97.08,186.01,64,True
57,20,9,Portable Vacuum,Brand 42,29.45,71.39,78,True
58,20,10,Deluxe Desk,Brand 3,124.66,154.19,23,False
59,9,4,Ultra Bottle,Brand 40,97.65,180.4,321,False
60,10,5,Eco Mat,Brand 44,63.88,114.32,352,True
61,6,8,Advanced Camera,Brand 30,34.58,68.77,160,True
62,12,7,Smart Keyboard,Brand 33,86.44,139.59,238,True
63,9,8,Compact Backpack,Brand 7,12.34,29.97,442,False
64,14,4,Smart Watch,Brand 37,109.56,158.51,81,True
65,17,8,Eco Chair,Brand 32,8.36,20.3,258,True
66,8,4,Ultra Keyboard,Brand 4,12.33,22.73,451,True
67,10,9,Wireless Blender,Brand 28,24.42,37.7,187,True
68,12,1,Advanced Speaker,Brand 37,86.46,144.5,147,True
69,13,9,Eco Brush,Brand 18,124.67,250.61,312,True
